sub_region_2,variable,value
Armidale Dumaresq Council,retail_and_recreation_percent_change_from_baseline,12.0
Ballina Shire Council,retail_and_recreation_percent_change_from_baseline,2.0
Bankstown City Council,retail_and_recreation_percent_change_from_baseline,-4.0
Bathurst Regional Council,retail_and_recreation_percent_change_from_baseline,9.0
Bayside Council,retail_and_recreation_percent_change_from_baseline,-12.0
Bega Valley Shire Council,retail_and_recreation_percent_change_from_baseline,-1.0
Bellingen Shire Council,retail_and_recreation_percent_change_from_baseline,
Blue Mountains City Council,retail_and_recreation_percent_change_from_baseline,4.0
Broken Hill City Council,retail_and_recreation_percent_change_from_baseline,
Burwood Council,retail_and_recreation_percent_change_from_baseline,-14.0
Byron Shire Council,retail_and_recreation_percent_change_from_baseline,-25.0
Cabonne Shire Council,retail_and_recreation_percent_change_from_baseline,
Camden Council,retail_and_recreation_percent_change_from_baseline,7.0
Campbelltown City Council,retail_and_recreation_percent_change_from_baseline,11.0
Canterbury City Council,retail_and_recreation_percent_change_from_baseline,0.0
Cessnock City Council,retail_and_recreation_percent_change_from_baseline,13.0
City of Albury,retail_and_recreation_percent_change_from_baseline,-9.0
City of Blacktown,retail_and_recreation_percent_change_from_baseline,-10.0
City of Canada Bay Council,retail_and_recreation_percent_change_from_baseline,-9.0
City of Lake Macquarie,retail_and_recreation_percent_change_from_baseline,2.0
City of Liverpool,retail_and_recreation_percent_change_from_baseline,8.0
City of Parramatta Council,retail_and_recreation_percent_change_from_baseline,-13.0
City of Ryde,retail_and_recreation_percent_change_from_baseline,-9.0
City of Shoalhaven,retail_and_recreation_percent_change_from_baseline,-3.0
City of Willoughby,retail_and_recreation_percent_change_from_baseline,-15.0
Clarence Valley Council,retail_and_recreation_percent_change_from_baseline,-15.0
Coffs Harbour City Council,retail_and_recreation_percent_change_from_baseline,-11.0
Cooma-Monaro Council,retail_and_recreation_percent_change_from_baseline,
Corowa Shire Council,retail_and_recreation_percent_change_from_baseline,
Council of the City of Sydney,retail_and_recreation_percent_change_from_baseline,-28.0
Cowra Shire Council,retail_and_recreation_percent_change_from_baseline,
Cumberland Council,retail_and_recreation_percent_change_from_baseline,-9.0
Dubbo City Council,retail_and_recreation_percent_change_from_baseline,7.0
Eurobodalla Shire Council,retail_and_recreation_percent_change_from_baseline,4.0
Fairfield City Council,retail_and_recreation_percent_change_from_baseline,-4.0
Goulburn Mulwaree Council,retail_and_recreation_percent_change_from_baseline,-10.0
Griffith City Council,retail_and_recreation_percent_change_from_baseline,-2.0
Gunnedah Shire Council,retail_and_recreation_percent_change_from_baseline,
Hawkesbury City Council,retail_and_recreation_percent_change_from_baseline,2.0
Hurstville City Council,retail_and_recreation_percent_change_from_baseline,-22.0
Inner West Council,retail_and_recreation_percent_change_from_baseline,-5.0
Inverell Shire Council,retail_and_recreation_percent_change_from_baseline,
Kempsey Shire Council,retail_and_recreation_percent_change_from_baseline,-3.0
Kogarah City Council,retail_and_recreation_percent_change_from_baseline,
Ku-ring-gai Council,retail_and_recreation_percent_change_from_baseline,1.0
Lane Cove Municipal Council,retail_and_recreation_percent_change_from_baseline,4.0
Leeton Shire Council,retail_and_recreation_percent_change_from_baseline,
Lismore City Council,retail_and_recreation_percent_change_from_baseline,-1.0
Lithgow City Council,retail_and_recreation_percent_change_from_baseline,4.0
Maitland City Council,retail_and_recreation_percent_change_from_baseline,5.0
Mid-Western Regional Council,retail_and_recreation_percent_change_from_baseline,0.0
MidCoast Council,retail_and_recreation_percent_change_from_baseline,-2.0
Mosman Municipal Council,retail_and_recreation_percent_change_from_baseline,-8.0
Muswellbrook Shire Council,retail_and_recreation_percent_change_from_baseline,
Nambucca Shire Council,retail_and_recreation_percent_change_from_baseline,
Newcastle City Council,retail_and_recreation_percent_change_from_baseline,-9.0
North Sydney Council,retail_and_recreation_percent_change_from_baseline,-14.0
Northern Beaches Council,retail_and_recreation_percent_change_from_baseline,-9.0
Orange City Council,retail_and_recreation_percent_change_from_baseline,4.0
Palerang Council,retail_and_recreation_percent_change_from_baseline,
Parkes Shire Council,retail_and_recreation_percent_change_from_baseline,
Penrith City Council,retail_and_recreation_percent_change_from_baseline,0.0
Port Macquarie-Hastings Council,retail_and_recreation_percent_change_from_baseline,-3.0
Port Stephens Council,retail_and_recreation_percent_change_from_baseline,-8.0
Queanbeyan City Council,retail_and_recreation_percent_change_from_baseline,10.0
Randwick City Council,retail_and_recreation_percent_change_from_baseline,-8.0
Richmond Valley Council,retail_and_recreation_percent_change_from_baseline,
Shellharbour City Council,retail_and_recreation_percent_change_from_baseline,0.0
Singleton Shire Council,retail_and_recreation_percent_change_from_baseline,0.0
Strathfield Municipal Council,retail_and_recreation_percent_change_from_baseline,1.0
Sutherland Shire,retail_and_recreation_percent_change_from_baseline,-9.0
Tamworth Regional Council,retail_and_recreation_percent_change_from_baseline,4.0
The Council of the Municipality of Hunters Hill,retail_and_recreation_percent_change_from_baseline,
The Council of the Municipality of Kiama,retail_and_recreation_percent_change_from_baseline,-16.0
The Council of the Shire of Hornsby,retail_and_recreation_percent_change_from_baseline,-1.0
The Hills Shire,retail_and_recreation_percent_change_from_baseline,2.0
Tumut Council,retail_and_recreation_percent_change_from_baseline,
Tweed Shire Council,retail_and_recreation_percent_change_from_baseline,-11.0
Wagga Wagga City Council,retail_and_recreation_percent_change_from_baseline,-1.0
Waverley Council,retail_and_recreation_percent_change_from_baseline,-28.0
Wingecarribee Shire Council,retail_and_recreation_percent_change_from_baseline,13.0
Wollondilly Shire Council,retail_and_recreation_percent_change_from_baseline,16.0
Wollongong City Council,retail_and_recreation_percent_change_from_baseline,-4.0
Woollahra Municipal Council,retail_and_recreation_percent_change_from_baseline,2.0
Wyong Shire Council,retail_and_recreation_percent_change_from_baseline,-4.0
Yass Valley Council,retail_and_recreation_percent_change_from_baseline,
Young Shire Council,retail_and_recreation_percent_change_from_baseline,
Alice Springs Municipality,retail_and_recreation_percent_change_from_baseline,31.0
Darwin Municipality,retail_and_recreation_percent_change_from_baseline,13.0
Katherine Municipality,retail_and_recreation_percent_change_from_baseline,
Litchfield Municipality,retail_and_recreation_percent_change_from_baseline,
Palmerston Municipality,retail_and_recreation_percent_change_from_baseline,11.0
Banana Shire,retail_and_recreation_percent_change_from_baseline,
Brisbane City,retail_and_recreation_percent_change_from_baseline,-8.0
Bundaberg Regional,retail_and_recreation_percent_change_from_baseline,-1.0
Burdekin Shire,retail_and_recreation_percent_change_from_baseline,
Cairns Regional,retail_and_recreation_percent_change_from_baseline,7.0
Cassowary Coast Regional,retail_and_recreation_percent_change_from_baseline,
Central Highlands Regional,retail_and_recreation_percent_change_from_baseline,
City of Gold Coast,retail_and_recreation_percent_change_from_baseline,-12.0
City of Ipswich,retail_and_recreation_percent_change_from_baseline,0.0
Douglas Shire,retail_and_recreation_percent_change_from_baseline,
Fraser Coast Regional,retail_and_recreation_percent_change_from_baseline,-3.0
Gladstone Regional,retail_and_recreation_percent_change_from_baseline,19.0
Gympie Regional,retail_and_recreation_percent_change_from_baseline,8.0
Isaac Regional,retail_and_recreation_percent_change_from_baseline,
Livingstone Shire,retail_and_recreation_percent_change_from_baseline,11.0
Lockyer Valley Regional,retail_and_recreation_percent_change_from_baseline,25.0
Logan City,retail_and_recreation_percent_change_from_baseline,9.0
Mackay Regional,retail_and_recreation_percent_change_from_baseline,3.0
Maranoa Regional,retail_and_recreation_percent_change_from_baseline,
Mareeba Shire,retail_and_recreation_percent_change_from_baseline,
Moreton Bay Region,retail_and_recreation_percent_change_from_baseline,-1.0
Mount Isa City,retail_and_recreation_percent_change_from_baseline,12.0
Noosa Shire,retail_and_recreation_percent_change_from_baseline,-1.0
Redland City,retail_and_recreation_percent_change_from_baseline,-7.0
Rockhampton Regional,retail_and_recreation_percent_change_from_baseline,4.0
Scenic Rim Regional,retail_and_recreation_percent_change_from_baseline,15.0
Somerset Regional,retail_and_recreation_percent_change_from_baseline,
South Burnett Regional,retail_and_recreation_percent_change_from_baseline,23.0
Southern Downs Regional,retail_and_recreation_percent_change_from_baseline,12.0
Sunshine Coast Regional,retail_and_recreation_percent_change_from_baseline,-5.0
Tablelands Regional,retail_and_recreation_percent_change_from_baseline,14.0
Toowoomba Regional,retail_and_recreation_percent_change_from_baseline,-1.0
Townsville City,retail_and_recreation_percent_change_from_baseline,8.0
Western Downs Regional,retail_and_recreation_percent_change_from_baseline,8.0
Whitsunday Regional,retail_and_recreation_percent_change_from_baseline,5.0
Adelaide City Council,retail_and_recreation_percent_change_from_baseline,-10.0
Adelaide Hills Council,retail_and_recreation_percent_change_from_baseline,21.0
Alexandrina Council,retail_and_recreation_percent_change_from_baseline,
Campbelltown City Council,retail_and_recreation_percent_change_from_baseline,8.0
City of Burnside,retail_and_recreation_percent_change_from_baseline,0.0
City of Charles Sturt,retail_and_recreation_percent_change_from_baseline,-3.0
City of Holdfast Bay,retail_and_recreation_percent_change_from_baseline,-16.0
City of Marion,retail_and_recreation_percent_change_from_baseline,-4.0
City of Mitcham,retail_and_recreation_percent_change_from_baseline,4.0
City of Mount Gambier,retail_and_recreation_percent_change_from_baseline,7.0
City of Onkaparinga,retail_and_recreation_percent_change_from_baseline,3.0
City of Playford,retail_and_recreation_percent_change_from_baseline,5.0
City of Port Adelaide Enfield,retail_and_recreation_percent_change_from_baseline,4.0
City of Port Lincoln,retail_and_recreation_percent_change_from_baseline,
City of Prospect,retail_and_recreation_percent_change_from_baseline,-4.0
City of Salisbury,retail_and_recreation_percent_change_from_baseline,15.0
City of Tea Tree Gully,retail_and_recreation_percent_change_from_baseline,-1.0
City of Unley,retail_and_recreation_percent_change_from_baseline,-2.0
